"d3mIndex","log(wdi.pop)","log1p(age)","postcoldwar","ios.iccpr1","nld.any.1","pitfdem","I(pitfdem * nld.any.1)","I(postcoldwar * nld.any.1)","as.factor(fiw.cl)","log1p(pol.durable)","log1p(cou.tries5)","nvc.start.1"
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,5,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,5.66666666666667,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,6.33333333333333,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,7,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,0,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,0.590356219893532,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,1.18071243978706,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,1.7710686596806,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.36142487957413,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.95178109946766,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,3.54213731936119,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,4.13249353925472,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,4.72284975914826,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,5.31320597904179,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0.25584278811045,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0.5116855762209,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,0.76752836433135,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,1.0233711524418,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,1.27921394055225,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,1.5350567286627,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,1.79089951677315,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,2.0467423048836,0
3663.5,15.9317575131578,3.85014760171006,0,0,0,0,0,0,4,2.63905732961526,2.30258509299405,0
