"d3mIndex","sftpcons","sftptv2a3","sftptv2a4","sftptv2a5","sftptv2a2","sftptv2a6","logim","maccat","disp4cat","stratidc","log_gdpc","logtpop","logmtn","feanctig","floil","sftpdur2","ethherf","relhrel","anocracy","democracy"
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,4.31748819351196,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,4.95591354370116,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,5.59433889389037,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.23276424407957,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.87118959426878,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,7.50961494445798,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,8.14804029464719,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,8.78646564483639,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,9.4248909950256,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,10.0633163452148,8.84628009796143,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,4.99043273925781,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,5.98024251725939,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,6.97005229526096,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,7.95986207326254,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.94967185126412,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,9.93948162926569,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,10.9292914072673,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,11.9191011852688,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,12.9089109632704,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,13.898720741272,2.27645289897919,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,0,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,0.506336636013454,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,1.01267327202691,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,1.51900990804036,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.02534654405382,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,2.53168318006727,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,3.03801981608073,0,0,0,0.558793306350708,0.514656573534012,0,0
227.5,0,0,0,0,0,0,0.113896161317825,0,0,197711,6.98067903518677,8.84628009796143,3.54435645209418,0,0,0,0.558793306350708,0.514656573534012,0,0
