d3mIndex,p_0,p_1
75,0.6746358897067162,0.3253641102932839
76,0.8586771869565173,0.14132281304348274
77,0.6335369999300519,0.3664630000699482
78,0.6205647547620378,0.37943524523796224
79,0.4754221889773024,0.5245778110226976
80,0.23827863161405888,0.7617213683859411
81,0.29009192067556283,0.7099080793244372
82,0.21438827980818517,0.7856117201918148
83,0.8299001787176918,0.17009982128230813
84,0.7856665929684992,0.21433340703150097
85,0.47506190581326946,0.5249380941867305
86,0.8156971520510465,0.18430284794895344
87,0.8554998912560169,0.1445001087439833
88,0.640694890206654,0.35930510979334596
89,0.5071450623743751,0.49285493762562493
90,0.7852575557484764,0.2147424442515237
91,0.9156961926750707,0.08430380732492906
92,0.6830756876264342,0.3169243123735657
93,0.8414321905598195,0.15856780944018048
94,0.8643962040705983,0.1356037959294017
95,0.8678693120689204,0.13213068793107957
96,0.8373787028653026,0.16262129713469745
97,0.908016451655907,0.09198354834409302
98,0.8678879366091526,0.13211206339084744
99,0.5601692157029302,0.4398307842970699
100,0.7865158705807656,0.21348412941923448
101,0.719266790947057,0.280733209052943
102,0.8265239162281519,0.1734760837718479
103,0.953200707875459,0.04679929212454095
104,0.739337163904322,0.2606628360956779
105,0.8165030105168813,0.18349698948311866
106,0.8287197641143986,0.17128023588560132
107,0.832228841128067,0.16777115887193297
108,0.7391850636350497,0.26081493636495046
109,0.7808162978496069,0.21918370215039312
110,0.708221416311605,0.291778583688395
111,0.5860218806425385,0.41397811935746154
112,0.8945756390518197,0.10542436094818028
113,0.5046717590086883,0.4953282409913117
114,0.19778475933500378,0.8022152406649962
115,0.9247387020544111,0.07526129794558885
116,0.6183653847785944,0.3816346152214056
117,0.6740566786664076,0.32594332133359244
118,0.6998540824207428,0.3001459175792574
119,0.7810311552251076,0.21896884477489229
120,0.71251503855209,0.2874849614479101
121,0.7417586231538299,0.25824137684617016
122,0.8471629877652163,0.15283701223478371
123,0.9169450399469325,0.08305496005306735
124,0.90943783292366,0.09056216707633997
125,0.9637543502004302,0.03624564979956974
126,0.9645242632885678,0.03547573671143215
127,0.9103801828307483,0.0896198171692516
128,0.867982053555194,0.132017946444806
129,0.6200892774290052,0.37991072257099484
130,0.8216722791996195,0.1783277208003805
131,0.9334004029009723,0.06659959709902796
132,0.8510106946742066,0.1489893053257933
133,0.8658529537815346,0.13414704621846538
134,0.7303800491785599,0.2696199508214402
135,0.6995820332575657,0.30041796674243426
136,0.7951915879293178,0.20480841207068218
137,0.8444986652666354,0.1555013347333645
138,0.8915057263530562,0.10849427364694365
139,0.5505582262503448,0.4494417737496552
140,0.90243032024031,0.0975696797596901
141,0.9013636930266135,0.09863630697338668
142,0.9359440101990999,0.06405598980090019
143,0.837814634277685,0.16218536572231496
144,0.8462483588329217,0.1537516411670783
145,0.9256456943800487,0.07435430561995122
146,0.9254625113312628,0.07453748866873727
147,0.9082771547063824,0.09172284529361756
148,0.8935408970589724,0.10645910294102745
149,0.910233945357144,0.08976605464285613
150,0.8042885910010134,0.19571140899898654
151,0.7878920779586331,0.21210792204136694
